original_name,translated_name,HCAT4_code,HCAT4_name
Brache mit Honigpflanzen ÖVF,Fallow land with honey plants ÖVF,3311100000,fallow_land_not_crop
Mischkulturen in Reihenanbau,mixed crops in row cultivation,3310000000,arable_crops
Winter-Dinkel,Winter spelt,3310110001,winter_spelt
Feldraine ÖVF (CC-LE),Field margins EFA (CC-LE),3390000000,not_known_and_other
Winterweichweizen,winter soft wheat,3310101001,winter_common_soft_wheat
Sommerweichweizen,summer soft wheat,3310101002,spring_common_soft_wheat
Hutungen,Pastures,3320100000,permanent_grassland
Wintermenggetreide,Winter mixed grain,3310111001,winter_mixed_grains
Winterhafer,Winter Oats,3310105001,winter_oats
"Winterrübsen (Rübsen, Rübsamen, Rübsaat)",Winter turnip rape (Brassica Rapa),3310604011,winter_rapeseed_rape
Sommer-Dinkel,Summer Spelt,3310110002,spring_spelt
Sommerroggen,Summer rye,3310103002,spring_rye
Durum/Sommerhartweizen,Summer durum wheat,3310102002,spring_durum_hard_wheat
Durum/Winterhartweizen,Winter Durum Wheat,3310102001,winter_durum_hard_wheat
Winterroggen,winter rye,3310103001,winter_rye
Riesenweizengras/Szarvasi-Gras,giant wheat grass / szarvasi grass,3320201010,elymus
Sommergerste,summer barley,3310104002,spring_barley
KUP,Coppice with short rotation,3360000000,tree_wood_forest
Rispenhirse,Proso Millet,3310109000,millet
Kolbenhirse,Foxtail millet,3310109000,millet
Wintergerste,winter barley,3310104001,winter_barley
Rebschulfläche,Vine nursery area,3330600000,vineyards_wine_vine_rebland_grapes
Sommerhafer,Summer oats,3310105002,spring_oats
"Wicken (Pannonische, Zottelwicke, Saatwicke)","Vetches (Pannonian Vetch, Hairy Vetch, Seed Vetch)",3310202050,vetches
Leindotter,Camelina sativa,3310615000,camelina
Körnermais/CCM,Grain maize/CCM,3310106000,maize_corn_popcorn
Silomais,Silage maize,3310106000,maize_corn_popcorn
Saatmais,Seed maize,3310106000,maize_corn_popcorn
Mais (Biogasanlage),Maize (biogas plant),3310106000,maize_corn_popcorn
Zuckermais,Sweet corn,3310106000,maize_corn_popcorn
Sommermenggetreide,Summer mixed grain,3310111002,spring_mixed_grains
Sudangras,Sudangrass,3310116000,sorghum
Wintertriticale,winter triticale,3310108001,winter_triticale
Sommertriticale,Summer triticale,3310108002,spring_triticale
Sommer-Emmer/ -Einkorn,summer emmer/einkorn,3310112002,spring_emmer
Winter-Emmer/ -Einkorn,Winter Emmer,3310112001,winter_emmer
Körnersorghum,grain sorghum,3310116000,sorghum
Ackerrandstreifen,field margins,3390000000,not_known_and_other
"Tümpel, Sölle, Dolinen ÖVF (CC-LE)","Pools, ponds, sinkholes ÖVF (CC-LE)",3390000000,not_known_and_other
Versuchsflächen mit mehreren beihilfefähigen Kulturarten,Experimental plots with multiple eligible crop types,3310000000,arable_crops
Baumreihe ÖVF (CC-LE),Tree row ÖVF (CC-LE),3360000000,tree_wood_forest
Steinklee,Sweet clover,3310202040,melilot
Alle anderen Getreidearten,All other cereal crops,3310100000,cereal
Leguminosenmischung (stickstoffbindend),legume mixture (nitrogen fixing),3310200000,legumes
Linsen (Speise-Linse),lentils (for consumption),3310201070,lentils
"Kleemischung aus NC 421, 427, 431 (stickstoffbindend)","Clover mixture of NC 421, 427, 431 (nitrogen-binding)",3310202030,clover
"Bockshornklee, Schabziger Klee","Fenugreek, blue fenugreek",3310201060,fenugreek
Erbsen/Bohnen - Gemenge,mixed peas and beans,3310200000,legumes
"Hornklee, Hornschotenklee",Bird’s foot trefoil,3310216000,birdsfoot_treifoil
Seradella,serradella,3310202020,serradella
Gemenge Leguminosen/Getreide,mixed legumes and cereals,3310200000,legumes
Ackerbohnen/Puffbohnen/Pferdebohnen/Dicke Bohnen,dry beans,3310201010,beans
Platterbse,Flat pea,3310201080,peas
Sojabohnen,soybeans,3310201030,soy_soybeans
Erbsen zur Körnergewinnung,peas for grain production,3310201080,peas
"Gemüseerbse (Markerbse, Schalerbse, Zuckererbse)","vegetable peas (field peas, dry peas, sugar peas)",3310201080,peas
Lupinen,lupins,3310201090,lupins
Esparsette,Esparsette (Onobrychis viciifolia),3310213000,onobrychis_sainfoins
Klee-Luzerne-Gemisch,mixture of clover and alfalfa/lucerne,3310200000,legumes
"Luzerne, Hopfenklee/Gelbklee, Bastardluzerne/Sandluzerne","lucerne, hop clover/yellow clover, bastard lucerne/sand lucerne",3310202010,alfalfa_lucerne
Rot-/Weiß-/Alexandriner-/Inkarnat-/Erd-/Schweden-/Perser Klee,red clover,3310202030,clover
Sonstige Hülsenfrüchte,other legumes,3310200000,legumes
Tabak,tobacco,3310601000,tobacco
Hopfen,hops,3310602000,hops
"Hopfen, vorübergehend stillgelegt","hops, temporarily idle",3310602000,hops
Winterraps,Winter Rapeseed,3310604011,winter_rapeseed_rape
Sommerraps,summer rapeseed,3310604013,summer_rapeseed_rape
Sonnenblumen,sunflowers,3310604020,sunflower
Sonstige Ölfrüchte,Other Oilseed Crops,3310604000,oilseed_crops
Färberdistel/Saflor,safflower,3310839000,safflower
Öllein/Faserflachs,Oil flax/fiber flax,3310607000,flax_linseed
Hanf,hemp,3310610000,hemp_cannabis
