original_name,hcat4_code,HCAT4_name,translated_name
Roselière,3390000000,not_known_and_other,Reed bed
Culture inconnue,3390000000,not_known_and_other,Other
Bande admissible le long d'une forêt sans production,3390000000,not_known_and_other,Eligible strip along a forest without production
Autre,3390000000,not_known_and_other,Other
Bande tampon,3390000000,not_known_and_other,Buffer strip
Bande admissible le long d'une forêt avec production,3390000000,not_known_and_other,Permissible strip along a forest with production
Autre culture non précisée dans la liste (admissible),3390000000,not_known_and_other,Other
Bordure de champ,3390000000,not_known_and_other,Field margin
Marais salant,3390000000,not_known_and_other,Salt marsh
"Parc d'élevage de monogastriques avec couvert dégradé, voire sol nu",3370000000,unmaintained,Monogastric stockyards with degraded cover or bare soil
Jachère de 6 ans ou plus,3370000000,unmaintained,Fallow 6 years or more
Jachère de 6 ans ou plus déclarée comme Surface d'intérêt écologique,3370000000,unmaintained,Fallow land 6 years or more declared as Ecological Focus Area (EFA)
Chênaie entretenue par des porcins ou des petits ruminants,3360600000,oak,Oak grove maintained by pigs or small ruminants
Surface boisée sur une ancienne terre agricole,3360000000,tree_wood_forest,Wooded area on former agricultural land
Taillis à courte rotation,3360000000,tree_wood_forest,Short rotation coppice
Horticulture ornementale sous abris,3350000000,greenhouse_foil_film,Ornamental horticulture under cover
Culture sous serre hors sol,3350000000,greenhouse_foil_film,Off-ground cultivation in greenhouse
Légume sous abris,3350000000,greenhouse_foil_film,Vegetable under cover
Truffière (chênaie de plants mycorhizés),3340200000,truffle,Truffle patch (oak grove of mycorrhizal trees)
Caroube,3330901000,carob,Carob
Pépinière (plants laissés en terre moins d'un an),3330700000,nurseries_nursery,Nursery (plants left in the ground for less than a year)
Pépinière,3330700000,nurseries_nursery,Nursery
Restructuration du vignoble,3330600000,vineyards_wine_vine_rebland_grapes,Restructuring of the vineyard
Vigne : raisins de table,3330600000,vineyards_wine_vine_rebland_grapes,Vine: table grapes
Vigne: raisins de cuve non en production,3330600000,vineyards_wine_vine_rebland_grapes,Vine: wine grapes not in production
Vigne : raisins de cuve,3330600000,vineyards_wine_vine_rebland_grapes,Vine: wine grapes
Oliveraie ,3330500000,olive,Olive grove
