"concept","conceptLabel_en","conceptLabel_de","conceptLabel_fr","conceptDef_en","conceptDef_de","conceptDef_fr","altLabel_en","altLabel_de","altLabel_fr","includesLabel_en","includesLabel_de","includesLabel_fr","isUseOfLabel_en","isUseOfLabel_de","isUseOfLabel_fr","producesLabel_en","producesLabel_de","producesLabel_fr","isProducedByLabel_en","isProducedByLabel_de","isProducedByLabel_fr"
"http://aims.fao.org/aos/agrovoc/c_1591","Christmas trees","Weihnachtsbaum","arbre de noël",,,,"Xmas trees","Christbaum","sapin de noël",,,,"Abies","Abies","Abies",,,,,,
"http://aims.fao.org/aos/agrovoc/c_1591","Christmas trees","Weihnachtsbaum","arbre de noël",,,,"Xmas trees","Christbaum","sapin de noël",,,,"Picea","Picea","Picea",,,,,,
"http://aims.fao.org/aos/agrovoc/c_1591","Christmas trees","Weihnachtsbaum","arbre de noël",,,,"Xmas trees","Christbaum","sapin de noël",,,,"Pinus","Pinus","Pinus",,,,,,
"http://aims.fao.org/aos/agrovoc/c_15529","apitong","Apitong","keruing","Wood of the Dipterocarpus grandiflorus tree.",,,,,,,,,,,,"Dipterocarpus","Dipterocarpus","Dipterocarpus","Dipterocarpus","Dipterocarpus","Dipterocarpus"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Arundinaria","Arundinaria","Arundinaria","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Arundinaria","Arundinaria","Arundinaria","ornamental monocarps","monokarpe Zierpflanze","plante ornementale monocarpique","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Arundo","Arundo","Arundo","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Arundo","Arundo","Arundo","ornamental monocarps","monokarpe Zierpflanze","plante ornementale monocarpique","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Bambusa","Bambusa","Bambusa","structural crops","Baustoff liefernde Pflanze","plante pour construction","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
"http://aims.fao.org/aos/agrovoc/c_802","bamboos","Bambus","bambou","The hard woody stems of bamboo plants; used in construction and crafts and fishing poles",,,,,,"Bambusa","Bambusa","Bambusa","ornamental monocarps","monokarpe Zierpflanze","plante ornementale monocarpique","withies","Flechtrohstoff","rameaux flexibles","withies","Flechtrohstoff","rameaux flexibles"
